kort,long,fukt,mjöl,pris,default
vatten,Vatten,1.0,0,0,350
hydrering,Hydrering,0,0,0,0.7
olja,Olja,0.5,0,46,0
äggvita,Äggvita,0.9,0,75,0
surdeg,Surdeg,0.5,0.5,4.5,0
